一级维度,维度图标,二级关注等级,三级指标ID,行为指标描述,加分/扣分,分值
儒雅（儒雅品格）,📚,日常达标,e07,衣着得体整洁，个人物品摆放有序,加分,+1
儒雅（儒雅品格）,📚,日常达标,e09,见到师长主动问好，常用礼貌用语,加分,+1
儒雅（儒雅品格）,📚,日常达标,e11,他人说话时能安静倾听，不随意打断,加分,+1
儒雅（儒雅品格）,📚,日常达标,e13,在学校楼道和室内场所轻步慢走、不追逐打闹,加分,+1
儒雅（儒雅品格）,📚,日常达标,e15,单日日常达标行为全项完成,加分,+1
儒雅（儒雅品格）,📚,日常达标,e18,单日引领成长行为全项完成,加分,+1
儒雅（儒雅品格）,📚,日常达标,e08,衣着不整洁、个人物品摆放杂乱无章,扣分,-1
儒雅（儒雅品格）,📚,日常达标,e10,见到师长不问好，日常不使用礼貌用语,扣分,-1
儒雅（儒雅品格）,📚,日常达标,e12,随意打断他人说话，不尊重发言者,扣分,-1
儒雅（儒雅品格）,📚,日常达标,e14,校内楼道、室内场所追逐打闹、不遵守公共秩序,扣分,-1
儒雅（儒雅品格）,📚,引领成长,e16,与同学有小摩擦时能温和沟通，积极向老师寻求帮助,加分,+2
儒雅（儒雅品格）,📚,引领成长,e17,同学遇到困难或情绪低落时，能主动关心并提供帮助,加分,+2
儒雅（儒雅品格）,📚,特色发展,e20,情绪稳定表现持续满1个月,加分,+5
儒雅（儒雅品格）,📚,特色发展,e22,每日阅读习惯持续满1个月,加分,+5
儒雅（儒雅品格）,📚,特色发展,e24,包容差异、尊重他人表现持续满1个月,加分,+5
儒雅（儒雅品格）,📚,特色发展,e19,保持稳定的情绪状态，不会轻易被外界小事影响,加分,+3
儒雅（儒雅品格）,📚,特色发展,e21,保持每天安静阅读的良好习惯,加分,+3
儒雅（儒雅品格）,📚,特色发展,e23,懂得欣赏多样性，倾听并包容不一样的想法,加分,+3
儒雅（儒雅品格）,📚,底线预警,e02,用言语、行为故意伤害同学/他人,扣分,-2
儒雅（儒雅品格）,📚,底线预警,e05,随意拿取他人物品、破坏公物/校园设施,扣分,-2
儒雅（儒雅品格）,📚,底线预警,e03,情节严重的校园欺凌/伤害他人行为,扣分,-5
儒雅（儒雅品格）,📚,底线预警,e06,情节严重的盗窃/恶意破坏公物行为,扣分,-5
大气（责任担当）,💪,日常达标,g01,升旗时主动行礼、大声唱国歌、全程肃立,加分,+1
大气（责任担当）,💪,日常达标,g04,不损坏国旗、队旗等标志，规范佩戴红领巾,加分,+1
大气（责任担当）,💪,日常达标,g07,有集体荣誉感，积极参加集体活动，认真完成值日工作,加分,+1
大气（责任担当）,💪,日常达标,g09,热爱学校，爱护校园一草一木，不乱扔垃圾,加分,+1
大气（责任担当）,💪,日常达标,g11,单日日常达标行为全项完成,加分,+1
大气（责任担当）,💪,日常达标,g16,单日引领成长行为全项完成,加分,+1
大气（责任担当）,💪,日常达标,g08,无集体荣誉感，拒绝参与集体活动、不认真完成值日,扣分,-1
大气（责任担当）,💪,日常达标,g10,破坏校园环境、乱扔垃圾、损坏花草树木,扣分,-1
大气（责任担当）,💪,引领成长,g12,遇事对人不斤斤计较，乐于分享自己的物品/知识,加分,+2
大气（责任担当）,💪,引领成长,g13,主动为集体服务，为班级、学校做力所能及的事,加分,+2
大气（责任担当）,💪,引领成长,g14,了解家乡非遗、传统节日习俗或历史人物故事，并主动分享,加分,+2
大气（责任担当）,💪,引领成长,g15,主动关心社会时事，对祖国发展感到自豪,加分,+2
大气（责任担当）,💪,特色发展,g18,跨文化交流学习成果显著,加分,+5
大气（责任担当）,💪,特色发展,g20,本土文化传播成果显著,加分,+5
大气（责任担当）,💪,特色发展,g17,积极参与跨区域、跨国家的交流与学习,加分,+3
大气（责任担当）,💪,特色发展,g19,积极传播本土先进文化，不盲目推崇他国文化,加分,+3
大气（责任担当）,💪,底线预警,g02,升旗时不遵守礼仪，不行礼、不唱国歌,扣分,-2
大气（责任担当）,💪,底线预警,g05,损坏国旗、队旗、红领巾等标志,扣分,-2
大气（责任担当）,💪,底线预警,g03,情节严重的升旗礼仪违规行为,扣分,-5
大气（责任担当）,💪,底线预警,g06,情节严重的国旗/队旗/红领巾损毁行为,扣分,-5
